Emitten, DER,ROA,Sales Growth,ROE,NPM,Category
AGRO,7.15,-0.09,-185.032137,-0.72,-1.4,3
BBCA,4.88,0.03,-1485.583,0.15,0.59,2
BBHI,4.36,0.01,121.8580899,0.06,0.3,2
BBKP,10.03,-0.01,-1445.75,-0.06,-0.14,1
BBMD,2.9,0.03,61.5454751,0.11,0.51,2
BBNI,6.52,0.01,-4246.426,0.05,0.14,2
BBRI,4.78,0.01,6531.747,0.08,0.22,2
BBSI,0.49,0.04,22.55646717,0.06,0.65,2
BBTN,15.82,0.01,129.291,0.1,0.11,1
BBYB,6.31,-0.04,167.3732876,-0.32,-0.7,3
BCIC,11.53,-0.02,-24.753,-0.28,-0.55,1
BEKS,4.17,-0.03,-93.899,0.02,0.06,2
BJBR,11.34,0.01,649.269,-0.14,-0.92,1
BJTM,8.42,0.02,424.496,0.03,0.07,2
BKSW,3.82,-0.02,-309.781,0.15,0.18,2
BMRI,5.91,0.01,7034.205,0.15,0.32,2
BNBA,3.49,0.01,-81.85642106,-0.1,-0.51,2
BNGA,5.49,0.01,-1001.648,0.05,0.1,2
BNII,4.5,0.01,-1690.584,0.1,0.23,2
BNLI,5.07,0.01,263.701,0.03,0.12,2
BTPN,3.94,0.01,-1667.699,0.08,0.21,2
BTPS,0.36,0.08,567.248,0.05,0.17,2
MASB,7.9,0.01,-2756.119855,0.03,0.11,2
MEGA,5.54,0.03,335.8793442,0.04,0.09,2
